영업일자,메뉴,예측_vA,예측_vB,차이,절대차이
TEST_05+7일,포레스트릿_꼬치어묵,841.4025140001509,393.62564808130264,-447.7768659188482,447.7768659188482
TEST_05+7일,포레스트릿_생수,591.559653614903,197.56436996161935,-393.99528365328365,393.99528365328365
TEST_03+7일,화담숲주막_해물파전,700.4154481261344,429.0947444736958,-271.32070365243857,271.32070365243857
TEST_02+3일,카페테리아_오픈푸드,268.5230046460206,1.0,-267.5230046460206,267.5230046460206
TEST_05+6일,포레스트릿_꼬치어묵,649.8168734430484,384.4711919724941,-265.34568147055427,265.34568147055427
TEST_02+2일,카페테리아_오픈푸드,256.15015259773435,1.0,-255.15015259773435,255.15015259773435
TEST_03+4일,화담숲주막_해물파전,648.449731744489,412.4280139803887,-236.0217177641003,236.0217177641003
TEST_02+4일,카페테리아_오픈푸드,226.42931719913616,1.0,-225.42931719913616,225.42931719913616
TEST_03+5일,화담숲주막_해물파전,623.7172401493266,399.50184971094137,-224.2153904383852,224.2153904383852
TEST_05+7일,포레스트릿_떡볶이,521.9290268575154,299.69507486373186,-222.23395199378353,222.23395199378353
TEST_03+3일,화담숲주막_해물파전,626.5716475713201,414.0954047441483,-212.4762428271718,212.4762428271718
TEST_03+1일,화담숲주막_해물파전,571.3686705156144,363.93213495612144,-207.436535559493,207.436535559493
TEST_03+2일,화담숲주막_해물파전,579.4382120422243,384.53983962535864,-194.8983724168657,194.8983724168657
TEST_05+6일,포레스트릿_생수,395.73367395026366,202.604534253478,-193.12913969678567,193.12913969678567
TEST_03+6일,화담숲주막_해물파전,621.7712627150015,429.5519582927227,-192.2193044222788,192.2193044222788
TEST_07+2일,카페테리아_단체식 18000(신),188.3077383731487,1.0,-187.3077383731487,187.3077383731487
TEST_06+5일,포레스트릿_떡볶이,61.98022656429207,248.62813451886177,186.6479079545697,186.6479079545697
TEST_05+7일,카페테리아_수제 등심 돈까스,332.0265112686335,153.20369805395603,-178.82281321467747,178.82281321467747
TEST_05+3일,포레스트릿_떡볶이,117.97798979432255,294.5639502853155,176.58596049099296,176.58596049099296
TEST_05+2일,포레스트릿_떡볶이,137.52246161375018,312.0947208851576,174.5722592714074,174.5722592714074
TEST_05+4일,포레스트릿_떡볶이,128.8943918036907,285.75656067579985,156.86216887210915,156.86216887210915
TEST_06+2일,포레스트릿_꼬치어묵,141.88855940080242,298.53942745923996,156.65086805843754,156.65086805843754
TEST_08+3일,카페테리아_오픈푸드,155.99033680933258,1.0,-154.99033680933258,154.99033680933258
TEST_06+2일,포레스트릿_떡볶이,108.66265525885274,255.71273054927585,147.0500752904231,147.0500752904231
TEST_02+7일,화담숲주막_해물파전,253.3496662037727,396.4932672679425,143.1436010641698,143.1436010641698
TEST_05+7일,포레스트릿_코카콜라,215.43650928868897,74.68992561101912,-140.74658367766983,140.74658367766983
TEST_05+5일,포레스트릿_떡볶이,153.8739253076527,294.37871632725,140.5047910195973,140.5047910195973
TEST_06+3일,포레스트릿_떡볶이,89.76332897568395,230.2084502875805,140.44512131189654,140.44512131189654
TEST_06+7일,카페테리아_아메리카노(HOT),181.18730184270353,43.26743304729462,-137.91986879540892,137.91986879540892
TEST_05+6일,포레스트릿_코카콜라,202.47551741609945,73.2717745900154,-129.20374282608407,129.20374282608407
